samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
SorCPnd001_Ex13E_L2 22FF32LT3:2 illumina modern/Sor-CPnd_001-Ex1-3E-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_001-Ex1-3E-lcwgs-1-2-L2-2.fq.gz
SorCPnd001_Ex13E_L3 22FF32LT3:3 illumina modern/Sor-CPnd_001-Ex1-3E-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_001-Ex1-3E-lcwgs-1-2-L3-2.fq.gz
SorCPnd001_Ex13E_L4 HJFC3CCX2:4 illumina modern/Sor-CPnd_001-Ex1-3E-lcwgs-1-T.1.fq.gz modern/Sor-CPnd_001-Ex1-3E-lcwgs-1-T.2.fq.gz
SorCPnd002_Ex15E_L2 22FF32LT3:2 illumina modern/Sor-CPnd_002-Ex1-5E-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_002-Ex1-5E-lcwgs-1-2-L2-2.fq.gz
SorCPnd002_Ex15E_L3 22FF32LT3:3 illumina modern/Sor-CPnd_002-Ex1-5E-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_002-Ex1-5E-lcwgs-1-2-L3-2.fq.gz
SorCPnd002_Ex15E_L4 HJFC3CCX2:4 illumina modern/Sor-CPnd_002-Ex1-5E-lcwgs-1-T.1.fq.gz modern/Sor-CPnd_002-Ex1-5E-lcwgs-1-T.2.fq.gz
SorCPnd003_Ex12B_L2 22FF32LT3:2 illumina modern/Sor-CPnd_003-Ex1-2B-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_003-Ex1-2B-lcwgs-1-2-L2-2.fq.gz
SorCPnd003_Ex12B_L3 22FF32LT3:3 illumina modern/Sor-CPnd_003-Ex1-2B-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_003-Ex1-2B-lcwgs-1-2-L3-2.fq.gz
SorCPnd003_Ex12B_L4 HJFC3CCX2:4 illumina modern/Sor-CPnd_003-Ex1-2B-lcwgs-1-T.1.fq.gz modern/Sor-CPnd_003-Ex1-2B-lcwgs-1-T.2.fq.gz
SorCPnd004_Ex11G_L2 22FF32LT3:2 illumina modern/Sor-CPnd_004-Ex1-1G-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_004-Ex1-1G-lcwgs-1-2-L2-2.fq.gz
SorCPnd004_Ex11G_L3 22FF32LT3:3 illumina modern/Sor-CPnd_004-Ex1-1G-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_004-Ex1-1G-lcwgs-1-2-L3-2.fq.gz
SorCPnd004_Ex11G_L4 HJFC3CCX2:4 illumina modern/Sor-CPnd_004-Ex1-1G-lcwgs-1-T.1.fq.gz modern/Sor-CPnd_004-Ex1-1G-lcwgs-1-T.2.fq.gz
SorCPnd005_Ex13D_L2 22FF32LT3:2 illumina modern/Sor-CPnd_005-Ex1-3D-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_005-Ex1-3D-lcwgs-1-2-L2-2.fq.gz
SorCPnd005_Ex13D_L3 22FF32LT3:3 illumina modern/Sor-CPnd_005-Ex1-3D-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_005-Ex1-3D-lcwgs-1-2-L3-2.fq.gz
SorCPnd005_Ex13D_L4 HJFC3CCX2:4 illumina modern/Sor-CPnd_005-Ex1-3D-lcwgs-1-T.1.fq.gz modern/Sor-CPnd_005-Ex1-3D-lcwgs-1-T.2.fq.gz
SorCPnd006_Ex12D_L2 22FF32LT3:2 illumina modern/Sor-CPnd_006-Ex1-2D-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_006-Ex1-2D-lcwgs-1-2-L2-2.fq.gz
SorCPnd006_Ex12D_L3 22FF32LT3:3 illumina modern/Sor-CPnd_006-Ex1-2D-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_006-Ex1-2D-lcwgs-1-2-L3-2.fq.gz
SorCPnd006_Ex12D_L4 HJFC3CCX2:4 illumina modern/Sor-CPnd_006-Ex1-2D-lcwgs-1-T.1.fq.gz modern/Sor-CPnd_006-Ex1-2D-lcwgs-1-T.2.fq.gz
SorCPnd007_Ex11C_L2 22FF32LT3:2 illumina modern/Sor-CPnd_007-Ex1-1C-lcwgs-1-2-L2-1.fq.gz modern/Sor-CPnd_007-Ex1-1C-lcwgs-1-2-L2-2.fq.gz
SorCPnd007_Ex11C_L3 22FF32LT3:3 illumina modern/Sor-CPnd_007-Ex1-1C-lcwgs-1-2-L3-1.fq.gz modern/Sor-CPnd_007-Ex1-1C-lcwgs-1-2-L3-2.fq.gz
