Sample	Unique Reads	Duplicate Reads
Sor-CPnd_001-Ex1-3E-lcwgs-1-3.clmp.fp2_repr.R1	5080973.0	84228.0
Sor-CPnd_001-Ex1-3E-lcwgs-1-3.clmp.fp2_repr.R2	5073077.0	92124.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-3.clmp.fp2_repr.R1	4901572.0	68890.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-3.clmp.fp2_repr.R2	4896976.0	73486.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-3.clmp.fp2_repr.R1	6055478.0	115204.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-3.clmp.fp2_repr.R2	6040782.0	129900.0
Sor-CPnd_004-Ex1-1G-lcwgs-1-3.clmp.fp2_repr.R1	8891553.0	155348.0
Sor-CPnd_004-Ex1-1G-lcwgs-1-3.clmp.fp2_repr.R2	8870851.0	176050.0
Sor-CPnd_005-Ex1-3D-lcwgs-1-3.clmp.fp2_repr.R1	3532157.0	66142.0
Sor-CPnd_005-Ex1-3D-lcwgs-1-3.clmp.fp2_repr.R2	3523513.0	74786.0
Sor-CPnd_006-Ex1-2D-lcwgs-1-3.clmp.fp2_repr.R1	9189380.0	181298.0
Sor-CPnd_006-Ex1-2D-lcwgs-1-3.clmp.fp2_repr.R2	9168223.0	202455.0
Sor-CPnd_007-Ex1-1C-lcwgs-1-3.clmp.fp2_repr.R1	2662068.0	40612.0
Sor-CPnd_007-Ex1-1C-lcwgs-1-3.clmp.fp2_repr.R2	2657566.0	45114.0
Sor-CPnd_008-Ex1-1A-lcwgs-1-3.clmp.fp2_repr.R1	11361725.0	480882.0
Sor-CPnd_008-Ex1-1A-lcwgs-1-3.clmp.fp2_repr.R2	11267798.0	574809.0
Sor-CPnd_009-Ex1-6A-lcwgs-1-3.clmp.fp2_repr.R1	9096218.0	240658.0
Sor-CPnd_009-Ex1-6A-lcwgs-1-3.clmp.fp2_repr.R2	9055960.0	280916.0
Sor-CPnd_010-Ex1-1H-lcwgs-1-3.clmp.fp2_repr.R1	1153862.0	11621.0
Sor-CPnd_010-Ex1-1H-lcwgs-1-3.clmp.fp2_repr.R2	1153484.0	11999.0
Sor-CPnd_012-Ex1-5B-lcwgs-1-3.clmp.fp2_repr.R1	4369578.0	76696.0
Sor-CPnd_012-Ex1-5B-lcwgs-1-3.clmp.fp2_repr.R2	4363412.0	82862.0
Sor-CPnd_013-Ex1-7F-lcwgs-1-3.clmp.fp2_repr.R1	3969450.0	48743.0
Sor-CPnd_013-Ex1-7F-lcwgs-1-3.clmp.fp2_repr.R2	3967228.0	50965.0
Sor-CPnd_014-Ex1-1F-lcwgs-1-3.clmp.fp2_repr.R1	8505373.0	163215.0
Sor-CPnd_014-Ex1-1F-lcwgs-1-3.clmp.fp2_repr.R2	8483426.0	185162.0
Sor-CPnd_015-Ex1-5F-lcwgs-1-3.clmp.fp2_repr.R1	3638828.0	50633.0
Sor-CPnd_015-Ex1-5F-lcwgs-1-3.clmp.fp2_repr.R2	3635847.0	53614.0
Sor-CPnd_016-Ex1-1B-lcwgs-1-3.clmp.fp2_repr.R1	15223337.0	549394.0
Sor-CPnd_016-Ex1-1B-lcwgs-1-3.clmp.fp2_repr.R2	15080811.0	691920.0
Sor-CPnd_017-Ex1-3G-lcwgs-1-3.clmp.fp2_repr.R1	734361.0	4976.0
Sor-CPnd_017-Ex1-3G-lcwgs-1-3.clmp.fp2_repr.R2	734123.0	5214.0
Sor-CPnd_018-Ex1-1E-lcwgs-1-3.clmp.fp2_repr.R1	3727923.0	47270.0
Sor-CPnd_018-Ex1-1E-lcwgs-1-3.clmp.fp2_repr.R2	3721428.0	53765.0
Sor-CPnd_019-Ex1-6G-lcwgs-1-3.clmp.fp2_repr.R1	7853991.0	147707.0
Sor-CPnd_019-Ex1-6G-lcwgs-1-3.clmp.fp2_repr.R2	7841607.0	160091.0
Sor-CPnd_020-Ex1-2E-lcwgs-1-3.clmp.fp2_repr.R1	9276588.0	214644.0
Sor-CPnd_020-Ex1-2E-lcwgs-1-3.clmp.fp2_repr.R2	9236718.0	254514.0
Sor-CPnd_022-Ex1-7C-lcwgs-1-3.clmp.fp2_repr.R1	7184481.0	154222.0
Sor-CPnd_022-Ex1-7C-lcwgs-1-3.clmp.fp2_repr.R2	7164719.0	173984.0
Sor-CPnd_024-Ex1-5G-lcwgs-1-3.clmp.fp2_repr.R1	2456811.0	24322.0
Sor-CPnd_024-Ex1-5G-lcwgs-1-3.clmp.fp2_repr.R2	2454414.0	26719.0
Sor-CPnd_026-Ex1-3H-lcwgs-1-3.clmp.fp2_repr.R1	9049789.0	205472.0
Sor-CPnd_026-Ex1-3H-lcwgs-1-3.clmp.fp2_repr.R2	9012973.0	242288.0
Sor-CPnd_027-Ex1-3C-lcwgs-1-3.clmp.fp2_repr.R1	4345071.0	94040.0
Sor-CPnd_027-Ex1-3C-lcwgs-1-3.clmp.fp2_repr.R2	4336488.0	102623.0
Sor-CPnd_028-Ex1-3A-lcwgs-1-3.clmp.fp2_repr.R1	7840698.0	213892.0
Sor-CPnd_028-Ex1-3A-lcwgs-1-3.clmp.fp2_repr.R2	7802497.0	252093.0
Sor-CPnd_029-Ex1-8E-lcwgs-1-3.clmp.fp2_repr.R1	10599051.0	242177.0
Sor-CPnd_029-Ex1-8E-lcwgs-1-3.clmp.fp2_repr.R2	10551641.0	289587.0
Sor-CPnd_030-Ex1-2H-lcwgs-1-3.clmp.fp2_repr.R1	5093483.0	84624.0
