#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	14035357	13355464	95.16	10007	0.07	2522	0.02	45100	0.32	622264	4.43
Ecoli	14035357	14035050	100.00	0	0.00	0	0.00	79	0.00	228	0.00
PhiX	14035357	14035357	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	14035357	14035195	100.00	1	0.00	0	0.00	2	0.00	159	0.00
Vectors	14035357	13987503	99.66	4	0.00	2	0.00	1023	0.01	46825	0.33
Bacteria_24k	14035357	13359788	95.19	80890	0.58	94444	0.67	38221	0.27	462014	3.29
Protists_1k	14035357	13041083	92.92	49516	0.35	121055	0.86	46016	0.33	777687	5.54
Viruses	14035357	13655544	97.30	398	0.00	129	0.00	28502	0.20	350784	2.50
Fungi_RefSeq_release	14035357	13323749	94.93	7283	0.05	2941	0.02	50639	0.36	650745	4.64
Coral	14035357	13556044	96.59	837	0.01	216	0.00	44016	0.31	434244	3.09
Bird	14035357	13463220	95.92	4786	0.03	2265	0.02	52723	0.38	512363	3.65
Plant	14035357	13602949	96.92	1020	0.01	245	0.00	32464	0.23	398679	2.84

%Hit_no_genomes: 91.36
