#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5035890	4817094	95.65	16164	0.32	4003	0.08	21419	0.43	177210	3.52
Ecoli	5035890	5033874	99.96	1	0.00	0	0.00	790	0.02	1225	0.02
PhiX	5035890	5035890	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5035890	5035876	100.00	0	0.00	0	0.00	1	0.00	13	0.00
Vectors	5035890	5021025	99.70	7	0.00	2	0.00	2835	0.06	12021	0.24
Bacteria_24k	5035890	4103903	81.49	208784	4.15	413099	8.20	26578	0.53	283526	5.63
Protists_1k	5035890	4543325	90.21	44667	0.89	34153	0.68	114339	2.27	299406	5.95
Viruses	5035890	4929772	97.89	513	0.01	204	0.00	12414	0.25	92987	1.85
Fungi_RefSeq_release	5035890	4823872	95.79	6503	0.13	1488	0.03	27854	0.55	176173	3.50
Coral	5035890	4901184	97.33	797	0.02	157	0.00	18847	0.37	114905	2.28
Bird	5035890	4868791	96.68	2567	0.05	544	0.01	22623	0.45	141365	2.81
Plant	5035890	4896361	97.24	1094	0.02	202	0.00	18161	0.36	120072	2.38

%Hit_no_genomes: 76.93
