#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3577	3447	96.36	6	0.17	0	0.00	6	0.17	118	3.30
Ecoli	3577	3577	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	3577	3577	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3577	3577	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	3577	3569	99.78	0	0.00	0	0.00	0	0.00	8	0.22
Bacteria_24k	3577	3421	95.65	29	0.81	37	1.03	3	0.08	87	2.43
Protists_1k	3577	3375	94.36	14	0.39	30	0.84	13	0.36	145	4.05
Viruses	3577	3509	98.10	0	0.00	0	0.00	6	0.17	62	1.73
Fungi_RefSeq_release	3577	3444	96.28	1	0.03	0	0.00	12	0.34	120	3.35
Coral	3577	3497	97.76	0	0.00	0	0.00	7	0.20	73	2.04
Bird	3577	3470	97.01	1	0.03	0	0.00	15	0.42	91	2.54
Plant	3577	3496	97.74	0	0.00	0	0.00	10	0.28	71	1.98

%Hit_no_genomes: 92.14
