Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sor-CPnd_001-Ex1-3E-lcwgs-1-3.clmp.fp2_r1_screen	62283.0	7352.0	5736.0	4270.0	2250.0	1032.0	1031.0	232.0	13.0	0.0	196370.0	5242433.0
Sor-CPnd_001-Ex1-3E-lcwgs-1-3.clmp.fp2_r2_screen	62568.0	7304.0	5799.0	4183.0	2286.0	1006.0	958.0	223.0	7.0	0.0	197340.0	5241328.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-3.clmp.fp2_r1_screen	59422.0	6556.0	5429.0	3886.0	3003.0	856.0	878.0	205.0	8.0	0.0	191740.0	5040181.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-3.clmp.fp2_r2_screen	59407.0	6417.0	5436.0	3822.0	3003.0	824.0	849.0	223.0	5.0	0.0	193060.0	5039118.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-3.clmp.fp2_r1_screen	67745.0	7783.0	6189.0	4746.0	3682.0	1055.0	1039.0	243.0	14.0	0.0	218304.0	6260015.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-3.clmp.fp2_r2_screen	67685.0	8002.0	6338.0	4644.0	3700.0	980.0	1034.0	228.0	16.0	0.0	220144.0	6258044.0
Sor-CPnd_004-Ex1-1G-lcwgs-1-3.clmp.fp2_r1_screen	118832.0	13902.0	11373.0	7875.0	5368.0	1785.0	1834.0	397.0	31.0	0.0	375428.0	9188256.0
Sor-CPnd_004-Ex1-1G-lcwgs-1-3.clmp.fp2_r2_screen	117897.0	13755.0	11085.0	7844.0	5360.0	1801.0	1814.0	389.0	23.0	0.0	376857.0	9188256.0
Sor-CPnd_005-Ex1-3D-lcwgs-1-3.clmp.fp2_r1_screen	42655.0	5160.0	4170.0	2989.0	1825.0	707.0	693.0	183.0	13.0	0.0	140720.0	3659698.0
Sor-CPnd_005-Ex1-3D-lcwgs-1-3.clmp.fp2_r2_screen	42466.0	5076.0	4149.0	2882.0	1768.0	639.0	654.0	158.0	3.0	0.0	141706.0	3659312.0
