Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Sor-ACeb_001-Ex1-8E-lcwgs-1-3-L2-fastp	95.02704349910492	4.720882018431911	0.23696531393919612	0.012304090823315805	0.0010837800207065735	0.00031875882961958043	6.37517659239161e-05	0.0001275035318478322	0.0001275035318478322	0.0001275035318478322	6.37517659239161e-05	6.37517659239161e-05	6.37517659239161e-05	0.0	0.0	6.37517659239161e-05	0.0001275035318478322	6.37517659239161e-05	0.0	6.37517659239161e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.37517659239161e-05	0.0	6.37517659239161e-05	0.00031875882961958043
Sor-ACeb_001-Ex1-8E-lcwgs-1-3-L3-fastp	94.4766452591601	5.28770863363416	0.22248543565327158	0.010357214890404313	0.0011681069425268022	0.0004672427770107209	0.0003114951846738139	0.00023362138850536044	0.0	0.0	7.787379616845348e-05	7.787379616845348e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.787379616845348e-05	7.787379616845348e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.787379616845348e-05	0.0	0.0	0.00023362138850536044
Sor-ACeb_002-Ex1-9E-lcwgs-1-3-L2-fastp	92.81248490837292	6.658658043233564	0.4870184145711749	0.03631277652504374	0.0034362473949529886	0.0002786146536448369	0.00013930732682241844	0.00018574310242989127	0.00013930732682241844	4.643577560747282e-05	0.0	4.643577560747282e-05	9.287155121494563e-05	0.0	4.643577560747282e-05	0.0	4.643577560747282e-05	0.0	4.643577560747282e-05	9.287155121494563e-05	4.643577560747282e-05	0.0	0.0	4.643577560747282e-05	0.0	9.287155121494563e-05	4.643577560747282e-05	0.0	0.0	4.643577560747282e-05	0.0006501008585046194
Sor-ACeb_002-Ex1-9E-lcwgs-1-3-L3-fastp	92.20808582888907	7.271577088016821	0.476567289931444	0.038423864226769855	0.0035639526239322756	0.00038980731824259264	0.0003341205584936509	0.00011137351949788361	0.00011137351949788361	0.00016706027924682544	5.568675974894181e-05	0.0	0.0	5.568675974894181e-05	0.0	5.568675974894181e-05	5.568675974894181e-05	0.0	0.0	0.0	5.568675974894181e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011137351949788361	5.568675974894181e-05	0.00022274703899576723
Sor-ACeb_003-Ex1-10E-lcwgs-1-3-L2-fastp	95.3857696704771	4.417122738866559	0.18792768757419281	0.007946781772603662	0.00043844313228158136	0.00010961078307039534	0.00010961078307039534	0.0	2.7402695767598835e-05	0.0	2.7402695767598835e-05	2.7402695767598835e-05	2.7402695767598835e-05	2.7402695767598835e-05	8.22080873027965e-05	2.7402695767598835e-05	0.0	2.7402695767598835e-05	0.0	2.7402695767598835e-05	0.0	2.7402695767598835e-05	2.7402695767598835e-05	0.0	2.7402695767598835e-05	0.0	2.7402695767598835e-05	0.0	2.7402695767598835e-05	0.0	0.00013701347883799417
Sor-ACeb_003-Ex1-10E-lcwgs-1-3-L3-fastp	94.57507450710132	5.2194915517978755	0.19596915699574274	0.008373927631939893	0.0005133442226476563	6.416802783095703e-05	6.416802783095703e-05	6.416802783095703e-05	6.416802783095703e-05	6.416802783095703e-05	0.0	0.0	0.0	3.208401391547852e-05	0.0	3.208401391547852e-05	0.0	3.208401391547852e-05	0.0	3.208401391547852e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.208401391547852e-05	0.0	0.0	0.0	9.625204174643554e-05
Sor-ACeb_004-Ex1-11E-lcwgs-1-3-L2-fastp	90.6410433423865	8.469558797034512	0.8029143002429706	0.07606512218407507	0.007976945574920988	0.0010944621896989218	0.0003998996462361445	0.00025256819762282815	0.00023152084782092578	4.209469960380469e-05	4.209469960380469e-05	4.209469960380469e-05	4.209469960380469e-05	4.209469960380469e-05	2.1047349801902346e-05	2.1047349801902346e-05	0.0	2.1047349801902346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1047349801902346e-05	0.0	0.00016837879841521877
Sor-ACeb_004-Ex1-11E-lcwgs-1-3-L3-fastp	90.7407563006045	8.455765232277512	0.7303062071826447	0.06438582714782068	0.006721861148914912	0.0010082791723372367	0.00026407311656451437	0.00016804652872287279	0.000120033234802052	7.201994088123119e-05	0.000120033234802052	2.4006646960410395e-05	2.4006646960410395e-05	0.0	2.4006646960410395e-05	4.801329392082079e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019205317568328316
Sor-ACeb_005-Ex1-12E-lcwgs-1-3-L2-fastp	69.06707259901495	21.887447534898598	6.653236703785209	1.8129898351451375	0.4496141988075737	0.101097010109701	0.02192365603851945	0.004550192762711584	0.0009100385525423168	0.0003860769616846192	0.00016546155500769396	5.515385166923132e-05	5.515385166923132e-05	2.757692583461566e-05	2.757692583461566e-05	5.515385166923132e-05	2.757692583461566e-05	2.757692583461566e-05	0.0	0.0	0.0	2.757692583461566e-05	0.0	2.757692583461566e-05	0.0	0.0	0.0	2.757692583461566e-05	2.757692583461566e-05	2.757692583461566e-05	0.0001930384808423096
Sor-ACeb_005-Ex1-12E-lcwgs-1-3-L3-fastp	72.81369163193384	20.308059237963295	5.309736708449428	1.2325532217045456	0.2694185037707428	0.05348681309754073	0.009612122933471086	0.002232493068419091	0.00046510272258731063	0.0002170479372074116	0.0001240273926899495	0.0001550342408624369	3.100684817248738e-05	0.0	0.0	3.100684817248738e-05	0.0	0.0	0.0	0.0	3.100684817248738e-05	3.100684817248738e-05	0.0	0.0	0.0	0.0	3.100684817248738e-05	0.0	0.0	3.100684817248738e-05	6.201369634497476e-05
Sor-ACeb_006-Ex1-1F-lcwgs-1-3-L2-fastp	81.13563344617879	15.32504992544374	2.9148277456262592	0.5189908523907996	0.08860106740528839	0.013822477966296784	0.002274102533058019	0.0004700658867214899	7.62269005494308e-05	2.5408966849810264e-05	3.81134502747154e-05	3.81134502747154e-05	2.5408966849810264e-05	2.5408966849810264e-05	2.5408966849810264e-05	0.0	0.0	1.2704483424905132e-05	0.0	1.2704483424905132e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.081793369962053e-05
Sor-ACeb_006-Ex1-1F-lcwgs-1-3-L3-fastp	80.99388757825086	15.648258280683716	2.7877184463372378	0.4776181507201254	0.07820018492323365	0.011674799644359038	0.0018176334775648801	0.0003914902874755126	0.00015379975579395139	2.7963591962536616e-05	2.7963591962536616e-05	1.3981795981268308e-05	2.7963591962536616e-05	4.194538794380492e-05	2.7963591962536616e-05	0.0	0.0	1.3981795981268308e-05	1.3981795981268308e-05	1.3981795981268308e-05	0.0	0.0	1.3981795981268308e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.592718392507323e-05
Sor-ACeb_007-Ex1-2F-lcwgs-1-3-L2-fastp	94.04613990810846	5.642485817209172	0.2893720744623482	0.017472335468841003	0.0019413706076490003	0.00021570784529433338	0.0006471235358830001	0.00021570784529433338	0.0	0.00021570784529433338	0.00021570784529433338	0.00010785392264716669	0.00010785392264716669	0.0	0.0	0.0	0.0	0.00010785392264716669	0.0	0.00010785392264716669	0.0	0.00010785392264716669	0.0	0.0	0.0	0.0	0.0	0.00010785392264716669	0.00010785392264716669	0.00010785392264716669	0.00021570784529433338
