#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8257	7859	95.18	10	0.12	0	0.00	37	0.45	351	4.25
Ecoli	8257	8257	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	8257	8257	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8257	8257	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	8257	8213	99.47	0	0.00	0	0.00	4	0.05	40	0.48
Bacteria_24k	8257	7970	96.52	17	0.21	25	0.30	24	0.29	221	2.68
Protists_1k	8257	7701	93.27	47	0.57	67	0.81	21	0.25	421	5.10
Viruses	8257	8038	97.34	0	0.00	0	0.00	17	0.21	202	2.45
Fungi_RefSeq_release	8257	7863	95.24	7	0.08	1	0.01	40	0.48	346	4.19
Coral	8257	7983	96.69	2	0.02	0	0.00	30	0.36	242	2.93
Bird	8257	7896	95.62	8	0.10	3	0.04	49	0.59	301	3.65
Plant	8257	8001	96.90	2	0.02	0	0.00	22	0.27	232	2.81

%Hit_no_genomes: 92.14
