#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	419485	398831	95.08	592	0.14	150	0.04	2191	0.52	17721	4.22
Ecoli	419485	419485	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	419485	419485	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	419485	419485	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	419485	417098	99.43	1	0.00	0	0.00	177	0.04	2209	0.53
Bacteria_24k	419485	408520	97.38	75	0.02	100	0.02	1204	0.29	9586	2.29
Protists_1k	419485	390035	92.97	2205	0.53	4385	1.05	911	0.22	21949	5.23
Viruses	419485	409903	97.72	13	0.00	9	0.00	1040	0.25	8520	2.03
Fungi_RefSeq_release	419485	398602	95.02	422	0.10	109	0.03	2341	0.56	18011	4.29
Coral	419485	406425	96.89	75	0.02	11	0.00	1805	0.43	11169	2.66
Bird	419485	402830	96.03	320	0.08	60	0.01	2197	0.52	14078	3.36
Plant	419485	407005	97.02	79	0.02	24	0.01	1588	0.38	10789	2.57

%Hit_no_genomes: 92.26
