#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	824192	780967	94.75	1207	0.15	313	0.04	4754	0.58	36951	4.48
Ecoli	824192	824192	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	824192	824192	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	824192	824192	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	824192	819461	99.42	0	0.00	0	0.00	473	0.06	4258	0.52
Bacteria_24k	824192	802004	97.30	252	0.03	226	0.03	2603	0.32	19107	2.32
Protists_1k	824192	762117	92.47	4852	0.59	9249	1.12	2013	0.24	45961	5.58
Viruses	824192	804733	97.64	31	0.00	12	0.00	2226	0.27	17190	2.09
Fungi_RefSeq_release	824192	780492	94.70	925	0.11	224	0.03	5063	0.61	37488	4.55
Coral	824192	797362	96.74	156	0.02	35	0.00	4083	0.50	22556	2.74
Bird	824192	789690	95.82	598	0.07	147	0.02	4877	0.59	28880	3.50
Plant	824192	798089	96.84	190	0.02	38	0.00	3461	0.42	22414	2.72

%Hit_no_genomes: 91.69
