#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	373656	350887	93.89	544	0.15	170	0.05	2380	0.64	19675	5.27
Ecoli	373656	373656	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	373656	373656	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	373656	373655	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	373656	370944	99.28	2	0.00	0	0.00	236	0.06	2474	0.66
Bacteria_24k	373656	361772	96.81	138	0.04	136	0.04	1352	0.36	10258	2.75
Protists_1k	373656	341695	91.44	2280	0.61	4504	1.21	1045	0.28	24132	6.46
Viruses	373656	363092	97.18	15	0.00	5	0.00	1175	0.31	9369	2.51
Fungi_RefSeq_release	373656	350597	93.83	476	0.13	116	0.03	2617	0.70	19850	5.31
Coral	373656	359384	96.18	76	0.02	23	0.01	2070	0.55	12103	3.24
Bird	373656	355226	95.06	320	0.09	74	0.02	2573	0.69	15463	4.14
Plant	373656	359473	96.22	90	0.02	10	0.00	1809	0.48	12274	3.28

%Hit_no_genomes: 90.56
