#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	14161	13673	96.56	19	0.13	2	0.01	44	0.31	423	2.99
Ecoli	14161	14161	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	14161	14161	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	14161	14161	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	14161	14129	99.77	0	0.00	0	0.00	1	0.01	31	0.22
Bacteria_24k	14161	13868	97.93	14	0.10	12	0.08	32	0.23	235	1.66
Protists_1k	14161	13406	94.66	69	0.49	131	0.93	16	0.11	539	3.81
Viruses	14161	13936	98.40	1	0.01	0	0.00	32	0.23	192	1.36
Fungi_RefSeq_release	14161	13657	96.45	9	0.06	2	0.01	59	0.42	434	3.06
Coral	14161	13853	97.82	1	0.01	0	0.00	45	0.32	262	1.85
Bird	14161	13763	97.19	8	0.06	2	0.01	61	0.43	327	2.31
Plant	14161	13875	97.99	3	0.02	0	0.00	36	0.25	247	1.74

%Hit_no_genomes: 94.01
