#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	509458	474158	93.07	949	0.19	213	0.04	3782	0.74	30356	5.96
Ecoli	509458	509458	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	509458	509458	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	509458	509456	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	509458	504474	99.02	1	0.00	0	0.00	510	0.10	4473	0.88
Bacteria_24k	509458	490969	96.37	144	0.03	97	0.02	2084	0.41	16164	3.17
Protists_1k	509458	460923	90.47	3446	0.68	6611	1.30	1671	0.33	36807	7.22
Viruses	509458	493096	96.79	14	0.00	6	0.00	1893	0.37	14449	2.84
Fungi_RefSeq_release	509458	473594	92.96	759	0.15	177	0.03	4054	0.80	30874	6.06
Coral	509458	486830	95.56	139	0.03	23	0.00	3260	0.64	19206	3.77
Bird	509458	480674	94.35	473	0.09	117	0.02	3804	0.75	24390	4.79
Plant	509458	487314	95.66	165	0.03	19	0.00	3049	0.60	18911	3.71

%Hit_no_genomes: 89.41
