#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1468403	1422515	96.88	1296	0.09	358	0.02	4862	0.33	39372	2.68
Ecoli	1468403	1468401	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	1468403	1468403	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1468403	1468401	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Vectors	1468403	1464168	99.71	3	0.00	0	0.00	302	0.02	3930	0.27
Bacteria_24k	1468403	1444140	98.35	261	0.02	348	0.02	2479	0.17	21175	1.44
Protists_1k	1468403	1400709	95.39	5283	0.36	11000	0.75	1872	0.13	49539	3.37
Viruses	1468403	1447139	98.56	32	0.00	16	0.00	2257	0.15	18959	1.29
Fungi_RefSeq_release	1468403	1421613	96.81	960	0.07	307	0.02	5177	0.35	40346	2.75
Coral	1468403	1440036	98.07	171	0.01	47	0.00	3838	0.26	24311	1.66
Bird	1468403	1432169	97.54	694	0.05	218	0.01	4879	0.33	30443	2.07
Plant	1468403	1441249	98.15	177	0.01	29	0.00	3461	0.24	23487	1.60

%Hit_no_genomes: 94.92
