#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1072594	1014059	94.54	1581	0.15	425	0.04	6454	0.60	50075	4.67
Ecoli	1072594	1072594	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	1072594	1072594	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1072594	1072592	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	1072594	1065912	99.38	2	0.00	0	0.00	637	0.06	6043	0.56
Bacteria_24k	1072594	1042194	97.16	328	0.03	270	0.03	3558	0.33	26244	2.45
Protists_1k	1072594	989321	92.23	6434	0.60	12126	1.13	2654	0.25	62059	5.79
Viruses	1072594	1045820	97.51	39	0.00	11	0.00	3084	0.29	23640	2.20
Fungi_RefSeq_release	1072594	1013244	94.46	1268	0.12	284	0.03	6889	0.64	50909	4.75
Coral	1072594	1035609	96.56	236	0.02	33	0.00	5405	0.50	31311	2.92
Bird	1072594	1025470	95.61	784	0.07	230	0.02	6511	0.61	39599	3.69
Plant	1072594	1036648	96.65	238	0.02	63	0.01	4829	0.45	30816	2.87

%Hit_no_genomes: 91.41
