#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	694708	667076	96.02	1200	0.17	262	0.04	3861	0.56	22309	3.21
Ecoli	694708	694703	100.00	0	0.00	0	0.00	2	0.00	3	0.00
PhiX	694708	694708	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	694708	694706	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	694708	692508	99.69	1	0.00	0	0.00	382	0.05	1817	0.26
Bacteria_24k	694708	676889	97.43	1622	0.23	1497	0.22	2055	0.30	12645	1.82
Protists_1k	694708	652459	93.92	4488	0.65	6278	0.90	2502	0.36	28981	4.17
Viruses	694708	683524	98.40	23	0.00	12	0.00	1600	0.23	9549	1.37
Fungi_RefSeq_release	694708	666915	96.00	938	0.14	153	0.02	4330	0.62	22372	3.22
Coral	694708	677584	97.52	195	0.03	35	0.01	3098	0.45	13796	1.99
Bird	694708	672576	96.81	542	0.08	119	0.02	3876	0.56	17595	2.53
Plant	694708	678965	97.74	201	0.03	28	0.00	2660	0.38	12854	1.85

%Hit_no_genomes: 92.66
