#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	211406	201765	95.44	187	0.09	53	0.03	766	0.36	8635	4.08
Ecoli	211406	211406	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	211406	211406	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	211406	211403	100.00	0	0.00	0	0.00	0	0.00	3	0.00
Vectors	211406	210386	99.52	0	0.00	0	0.00	38	0.02	982	0.46
Bacteria_24k	211406	204800	96.89	325	0.15	302	0.14	494	0.23	5485	2.59
Protists_1k	211406	198025	93.67	719	0.34	1830	0.87	326	0.15	10506	4.97
Viruses	211406	206211	97.55	4	0.00	2	0.00	431	0.20	4758	2.25
Fungi_RefSeq_release	211406	201394	95.25	159	0.08	39	0.02	881	0.42	8933	4.23
Coral	211406	204724	96.84	16	0.01	3	0.00	716	0.34	5947	2.81
Bird	211406	203352	96.19	62	0.03	44	0.02	876	0.41	7072	3.35
Plant	211406	205271	97.10	20	0.01	3	0.00	523	0.25	5589	2.64

%Hit_no_genomes: 93.00
