#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	774447	744087	96.08	1273	0.16	308	0.04	4237	0.55	24542	3.17
Ecoli	774447	774440	100.00	0	0.00	0	0.00	2	0.00	5	0.00
PhiX	774447	774447	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	774447	774447	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	774447	771968	99.68	0	0.00	0	0.00	411	0.05	2068	0.27
Bacteria_24k	774447	754369	97.42	1953	0.25	1873	0.24	2129	0.27	14123	1.82
Protists_1k	774447	727956	93.99	5000	0.65	6970	0.90	2708	0.35	31813	4.11
Viruses	774447	762054	98.40	28	0.00	20	0.00	1675	0.22	10670	1.38
Fungi_RefSeq_release	774447	744059	96.09	961	0.12	187	0.02	4576	0.59	24664	3.18
Coral	774447	755690	97.58	185	0.02	21	0.00	3331	0.43	15220	1.97
Bird	774447	750210	96.87	569	0.07	124	0.02	4202	0.54	19342	2.50
Plant	774447	757072	97.75	189	0.02	40	0.01	2993	0.39	14153	1.83

%Hit_no_genomes: 92.73
