#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8597578	8313574	96.70	8992	0.10	2351	0.03	32551	0.38	240110	2.79
Ecoli	8597578	8597574	100.00	0	0.00	0	0.00	1	0.00	3	0.00
PhiX	8597578	8597578	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8597578	8597570	100.00	0	0.00	0	0.00	0	0.00	8	0.00
Vectors	8597578	8572309	99.71	13	0.00	0	0.00	1998	0.02	23258	0.27
Bacteria_24k	8597578	8442840	98.20	2063	0.02	2115	0.02	16803	0.20	133757	1.56
Protists_1k	8597578	8175838	95.09	35092	0.41	66822	0.78	13016	0.15	306810	3.57
Viruses	8597578	8466986	98.49	283	0.00	116	0.00	14571	0.17	115622	1.34
Fungi_RefSeq_release	8597578	8308344	96.65	7116	0.08	2090	0.02	33952	0.39	246076	2.86
Coral	8597578	8424429	97.99	1196	0.01	271	0.00	24544	0.29	147138	1.71
Bird	8597578	8376081	97.42	5075	0.06	1538	0.02	32970	0.38	181914	2.12
Plant	8597578	8432770	98.09	1280	0.01	261	0.00	22005	0.26	141262	1.64

%Hit_no_genomes: 94.53
