#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8595605	8345688	97.08	8262	0.10	2305	0.03	27156	0.32	212194	2.47
Ecoli	8595605	8595596	100.00	0	0.00	0	0.00	2	0.00	7	0.00
PhiX	8595605	8595605	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8595605	8595601	100.00	0	0.00	0	0.00	0	0.00	4	0.00
Vectors	8595605	8567693	99.68	11	0.00	0	0.00	1839	0.02	26062	0.30
Bacteria_24k	8595605	8455624	98.37	1512	0.02	1664	0.02	13741	0.16	123064	1.43
Protists_1k	8595605	8232453	95.77	29338	0.34	56573	0.66	11113	0.13	266128	3.10
Viruses	8595605	8476253	98.61	227	0.00	84	0.00	11865	0.14	107176	1.25
Fungi_RefSeq_release	8595605	8342694	97.06	6140	0.07	1896	0.02	27972	0.33	216903	2.52
Coral	8595605	8439076	98.19	1154	0.01	238	0.00	20808	0.24	134329	1.56
Bird	8595605	8396805	97.68	4980	0.06	1318	0.02	27684	0.32	164818	1.92
Plant	8595605	8448342	98.30	1123	0.01	223	0.00	18368	0.21	127549	1.48

%Hit_no_genomes: 95.26
