#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	10022628	9721901	96.99	10605	0.11	2752	0.03	36036	0.36	251334	2.51
Ecoli	10022628	10022622	100.00	0	0.00	0	0.00	0	0.00	6	0.00
PhiX	10022628	10022628	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	10022628	10022609	100.00	0	0.00	0	0.00	11	0.00	8	0.00
Vectors	10022628	9995573	99.73	18	0.00	1	0.00	2328	0.02	24708	0.25
Bacteria_24k	10022628	9859267	98.37	2382	0.02	2637	0.03	17938	0.18	140404	1.40
Protists_1k	10022628	9571527	95.49	39878	0.40	73026	0.73	14951	0.15	323246	3.23
Viruses	10022628	9888069	98.66	315	0.00	120	0.00	15019	0.15	119105	1.19
Fungi_RefSeq_release	10022628	9716426	96.96	8276	0.08	2483	0.02	37556	0.37	257887	2.57
Coral	10022628	9839586	98.17	1526	0.02	282	0.00	26618	0.27	154616	1.54
Bird	10022628	9788049	97.66	5848	0.06	1791	0.02	35192	0.35	191748	1.91
Plant	10022628	9851796	98.30	1428	0.01	300	0.00	23659	0.24	145445	1.45

%Hit_no_genomes: 94.93
