#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2827596	2743691	97.04	2593	0.09	676	0.02	9371	0.33	71265	2.52
Ecoli	2827596	2827594	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	2827596	2827596	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2827596	2827595	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	2827596	2819443	99.71	3	0.00	0	0.00	566	0.02	7584	0.27
Bacteria_24k	2827596	2781458	98.36	726	0.03	866	0.03	4731	0.17	39815	1.41
Protists_1k	2827596	2702443	95.59	10295	0.36	19885	0.70	3793	0.13	91180	3.22
Viruses	2827596	2788966	98.64	75	0.00	33	0.00	4185	0.15	34337	1.21
Fungi_RefSeq_release	2827596	2741635	96.97	2069	0.07	654	0.02	9697	0.34	73541	2.60
Coral	2827596	2776179	98.19	309	0.01	77	0.00	7089	0.25	43942	1.55
Bird	2827596	2761762	97.66	1557	0.06	502	0.02	9479	0.34	54296	1.92
Plant	2827596	2778827	98.28	355	0.01	64	0.00	6250	0.22	42100	1.49

%Hit_no_genomes: 95.07
