#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	11642121	11268583	96.79	12502	0.11	3447	0.03	42900	0.37	314689	2.70
Ecoli	11642121	11642114	100.00	0	0.00	0	0.00	2	0.00	5	0.00
PhiX	11642121	11642121	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	11642121	11642112	100.00	0	0.00	0	0.00	0	0.00	9	0.00
Vectors	11642121	11605401	99.68	25	0.00	3	0.00	3092	0.03	33600	0.29
Bacteria_24k	11642121	11439989	98.26	2519	0.02	2487	0.02	21711	0.19	175415	1.51
Protists_1k	11642121	11093286	95.28	46860	0.40	86877	0.75	18276	0.16	396822	3.41
Viruses	11642121	11472121	98.54	323	0.00	123	0.00	18523	0.16	151031	1.30
Fungi_RefSeq_release	11642121	11262030	96.74	9514	0.08	2595	0.02	45111	0.39	322871	2.77
Coral	11642121	11406061	97.97	1841	0.02	407	0.00	33743	0.29	200069	1.72
Bird	11642121	11344714	97.44	6876	0.06	2067	0.02	41451	0.36	247013	2.12
Plant	11642121	11422191	98.11	1897	0.02	347	0.00	29648	0.25	188038	1.62

%Hit_no_genomes: 94.71
