Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sor-ACeb_001-Ex1-8E-lcwgs-1-3-L2-clmp.fp2_r1_screen	21940.0	35073.0	5302.0	3356.0	2064.0	681.0	652.0	126.0	4.0	0.0	0.0	105738.0	2375140.0
Sor-ACeb_001-Ex1-8E-lcwgs-1-3-L2-clmp.fp2_r2_screen	21948.0	35611.0	5215.0	3225.0	1948.0	617.0	588.0	132.0	3.0	0.0	0.0	106159.0	2374630.0
Sor-ACeb_001-Ex1-8E-lcwgs-1-3-L3-clmp.fp2_r1_screen	14456.0	28285.0	3959.0	2771.0	1665.0	574.0	506.0	99.0	1.0	0.0	0.0	84727.0	1896228.0
Sor-ACeb_001-Ex1-8E-lcwgs-1-3-L3-clmp.fp2_r2_screen	14474.0	28276.0	3920.0	2576.0	1690.0	546.0	514.0	120.0	3.0	0.0	0.0	85127.0	1896025.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-3-L2-clmp.fp2_r1_screen	70606.0	42387.0	4104.0	2648.0	1729.0	362.0	379.0	135.0	2.0	0.0	0.0	181665.0	3142885.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-3-L2-clmp.fp2_r2_screen	70620.0	42826.0	4031.0	2569.0	1718.0	353.0	395.0	157.0	5.0	0.0	0.0	181688.0	3142540.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-3-L3-clmp.fp2_r1_screen	59558.0	34836.0	3104.0	2174.0	1461.0	308.0	297.0	108.0	3.0	0.0	0.0	148468.0	2549645.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-3-L3-clmp.fp2_r2_screen	59488.0	34981.0	3001.0	2165.0	1471.0	310.0	300.0	120.0	1.0	0.0	0.0	148200.0	2549925.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-3-L2-clmp.fp2_r1_screen	11031.0	59260.0	6439.0	4784.0	3392.0	784.0	745.0	242.0	1.0	0.0	0.0	152649.0	6371905.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-3-L2-clmp.fp2_r2_screen	11103.0	59942.0	6436.0	4700.0	3285.0	781.0	704.0	236.0	2.0	0.0	0.0	153460.0	6370583.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-3-L3-clmp.fp2_r1_screen	9084.0	48126.0	5151.0	3989.0	2845.0	682.0	617.0	181.0	5.0	0.0	0.0	124963.0	5164429.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-3-L3-clmp.fp2_r2_screen	9150.0	47963.0	5216.0	3948.0	2675.0	686.0	656.0	200.0	1.0	0.0	0.0	125148.0	5164429.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-3-L2-clmp.fp2_r1_screen	93090.0	125856.0	14052.0	9444.0	6175.0	1258.0	1174.0	370.0	7.0	0.0	0.0	547973.0	10136282.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-3-L2-clmp.fp2_r2_screen	92937.0	126907.0	14129.0	9275.0	6117.0	1252.0	1058.0	392.0	3.0	0.0	0.0	547329.0	10136282.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-3-L3-clmp.fp2_r1_screen	81453.0	105650.0	11949.0	8107.0	5294.0	1060.0	1027.0	348.0	5.0	0.0	0.0	457732.0	8453896.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-3-L3-clmp.fp2_r2_screen	81416.0	105634.0	11816.0	8060.0	5249.0	986.0	931.0	341.0	8.0	0.0	0.0	457271.0	8454809.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-3-L2-clmp.fp2_r1_screen	743192.0	95747.0	358127.0	11939.0	1657.0	351.0	290.0	582.0	2.0	0.0	0.0	564137.0	3964194.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-3-L2-clmp.fp2_r2_screen	742868.0	96012.0	358305.0	11954.0	1661.0	330.0	275.0	616.0	3.0	0.0	0.0	562278.0	3965916.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-3-L3-clmp.fp2_r1_screen	661286.0	83569.0	309362.0	10474.0	1420.0	290.0	234.0	562.0	1.0	0.0	0.0	493063.0	3426189.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-3-L3-clmp.fp2_r2_screen	660346.0	83275.0	309387.0	10538.0	1392.0	266.0	254.0	577.0	10.0	0.0	0.0	491722.0	3428683.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-3-L2-clmp.fp2_r1_screen	305313.0	292941.0	25612.0	17943.0	12265.0	2242.0	1805.0	762.0	18.0	0.0	0.0	1544468.0	20796302.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-3-L2-clmp.fp2_r2_screen	304432.0	294185.0	25466.0	17467.0	12142.0	2168.0	1790.0	716.0	13.0	0.0	0.0	1542690.0	20798602.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-3-L3-clmp.fp2_r1_screen	268780.0	250893.0	21767.0	15087.0	10526.0	1933.0	1530.0	631.0	8.0	0.0	0.0	1315958.0	17770311.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-3-L3-clmp.fp2_r2_screen	268586.0	250263.0	21607.0	14858.0	10262.0	1941.0	1558.0	668.0	10.0	2.0	0.0	1313427.0	17774242.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-3-L2-clmp.fp2_r1_screen	14756.0	12866.0	927.0	780.0	507.0	112.0	76.0	41.0	1.0	0.0	0.0	59627.0	1054338.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-3-L2-clmp.fp2_r2_screen	14773.0	12968.0	906.0	747.0	493.0	101.0	71.0	41.0	1.0	0.0	0.0	59706.0	1054224.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-3-L3-clmp.fp2_r1_screen	12501.0	10397.0	754.0	663.0	449.0	77.0	74.0	32.0	1.0	0.0	0.0	48404.0	853977.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-3-L3-clmp.fp2_r2_screen	12534.0	10427.0	752.0	670.0	411.0	67.0	71.0	33.0	1.0	0.0	0.0	48108.0	854255.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-3-L2-clmp.fp2_r1_screen	66002.0	271908.0	31992.0	23644.0	17076.0	4555.0	4118.0	1056.0	22.0	0.0	0.0	712388.0	26162666.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-3-L2-clmp.fp2_r2_screen	65706.0	273273.0	31264.0	23547.0	16593.0	4295.0	4003.0	1050.0	18.0	0.0	0.0	715741.0	26159937.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-3-L3-clmp.fp2_r1_screen	54171.0	224421.0	26729.0	19756.0	13951.0	3998.0	3436.0	899.0	19.0	1.0	0.0	595846.0	21514558.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-3-L3-clmp.fp2_r2_screen	53908.0	223919.0	26482.0	19669.0	13690.0	3761.0	3423.0	925.0	28.0	0.0	0.0	595177.0	21516803.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-3-L2-clmp.fp2_r1_screen	3751.0	21932.0	1993.0	1567.0	1083.0	279.0	239.0	69.0	0.0	0.0	0.0	64386.0	2184580.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-3-L2-clmp.fp2_r2_screen	3781.0	21998.0	1949.0	1591.0	1108.0	263.0	215.0	58.0	2.0	0.0	0.0	64562.0	2184352.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-3-L3-clmp.fp2_r1_screen	2334.0	16466.0	1524.0	1265.0	874.0	204.0	177.0	55.0	1.0	0.0	0.0	49701.0	1655980.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-3-L3-clmp.fp2_r2_screen	2289.0	16501.0	1514.0	1322.0	899.0	211.0	185.0	50.0	2.0	0.0	0.0	49455.0	1656153.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-3-L2-clmp.fp2_r1_screen	1059164.0	1105757.0	161276.0	78739.0	57272.0	11752.0	9889.0	3709.0	166.0	1.0	0.0	5444695.0	87180526.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-3-L2-clmp.fp2_r2_screen	1058178.0	1126753.0	159842.0	77952.0	56161.0	11226.0	9551.0	3816.0	78.0	0.0	0.0	5457397.0	87151992.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-3-L3-clmp.fp2_r1_screen	967352.0	981094.0	143015.0	69987.0	50665.0	10386.0	8882.0	3430.0	113.0	4.0	0.0	4751881.0	78635846.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-3-L3-clmp.fp2_r2_screen	966248.0	982634.0	142380.0	68907.0	50285.0	10001.0	8606.0	3585.0	131.0	0.0	0.0	4745470.0	78644408.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-3-L2-clmp.fp2_r1_screen	1850024.0	174894.0	137111.0	13256.0	3285.0	1282.0	952.0	2258.0	30.0	0.0	0.0	950191.0	8239795.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-3-L2-clmp.fp2_r2_screen	1845789.0	177501.0	136709.0	13256.0	3132.0	1212.0	856.0	2284.0	13.0	0.0	0.0	945708.0	8246618.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-3-L3-clmp.fp2_r1_screen	1745170.0	158724.0	129032.0	11972.0	2718.0	1118.0	832.0	2169.0	17.0	0.0	0.0	873117.0	7607606.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-3-L3-clmp.fp2_r2_screen	1740730.0	158768.0	128845.0	12136.0	2672.0	1097.0	772.0	2217.0	16.0	0.0	0.0	870243.0	7614979.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-3-L2-clmp.fp2_r1_screen	306293.0	411672.0	37662.0	28270.0	21473.0	4142.0	3913.0	1325.0	22.0	1.0	0.0	1841834.0	31710871.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-3-L2-clmp.fp2_r2_screen	305645.0	416913.0	36927.0	28209.0	20884.0	3953.0	3910.0	1380.0	31.0	0.0	0.0	1842191.0	31707435.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-3-L3-clmp.fp2_r1_screen	268391.0	351020.0	31850.0	24145.0	18192.0	3604.0	3374.0	1138.0	18.0	0.0	0.0	1552896.0	26950392.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-3-L3-clmp.fp2_r2_screen	268702.0	350278.0	31784.0	23815.0	17757.0	3653.0	3313.0	1248.0	24.0	0.0	0.0	1554054.0	26950392.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-3-L2-clmp.fp2_r1_screen	2724355.0	563438.0	112307.0	27494.0	20125.0	4398.0	3847.0	2841.0	35.0	0.0	0.0	3005196.0	27683006.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-3-L2-clmp.fp2_r2_screen	2716740.0	575193.0	111670.0	27260.0	20011.0	4194.0	3640.0	2891.0	41.0	0.0	0.0	2998981.0	27686421.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-3-L3-clmp.fp2_r1_screen	2593309.0	517261.0	104033.0	24034.0	18136.0	3848.0	3329.0	2734.0	21.0	0.0	0.0	2736746.0	26134937.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-3-L3-clmp.fp2_r2_screen	2586270.0	517959.0	103872.0	23992.0	18219.0	3844.0	3266.0	2867.0	64.0	0.0	0.0	2727029.0	26151006.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-3-L2-clmp.fp2_r1_screen	1185409.0	751522.0	69753.0	52853.0	39672.0	8773.0	7375.0	2555.0	74.0	0.0	0.0	3768686.0	48720674.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-3-L2-clmp.fp2_r2_screen	1181925.0	766130.0	69414.0	52080.0	39348.0	8096.0	7147.0	2549.0	70.0	0.0	0.0	3787217.0	48693370.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-3-L3-clmp.fp2_r1_screen	1123247.0	681011.0	61557.0	46896.0	35911.0	7815.0	6667.0	2328.0	72.0	0.0	0.0	3366788.0	45548354.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-3-L3-clmp.fp2_r2_screen	1120821.0	681907.0	61402.0	46516.0	35863.0	7519.0	6622.0	2493.0	86.0	0.0	0.0	3369063.0	45548354.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-3-L2-clmp.fp2_r1_screen	104217.0	111564.0	9224.0	7187.0	5077.0	1015.0	947.0	301.0	11.0	0.0	0.0	506986.0	8824343.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-3-L2-clmp.fp2_r2_screen	104032.0	112325.0	9358.0	7028.0	4938.0	953.0	896.0	326.0	11.0	0.0	0.0	505704.0	8825301.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-3-L3-clmp.fp2_r1_screen	90804.0	94084.0	7864.0	6092.0	4207.0	869.0	752.0	284.0	1.0	0.0	0.0	426348.0	7421042.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-3-L3-clmp.fp2_r2_screen	90680.0	93721.0	7937.0	6109.0	4254.0	826.0	718.0	275.0	4.0	0.0	0.0	425975.0	7421848.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-3-L2-clmp.fp2_r1_screen	175334.0	170571.0	12529.0	10224.0	7051.0	1265.0	1053.0	527.0	6.0	1.0	0.0	834094.0	12822702.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-3-L2-clmp.fp2_r2_screen	174551.0	171755.0	12630.0	10242.0	7046.0	1182.0	989.0	536.0	11.0	0.0	0.0	833713.0	12822702.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-3-L3-clmp.fp2_r1_screen	151213.0	142237.0	10442.0	8400.0	5762.0	1039.0	897.0	433.0	4.0	0.0	0.0	696709.0	10674072.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-3-L3-clmp.fp2_r2_screen	151009.0	141948.0	10254.0	8470.0	5706.0	1028.0	880.0	470.0	10.0	0.0	0.0	695022.0	10676411.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-3-L2-clmp.fp2_r1_screen	134719.0	135681.0	22454.0	8292.0	6054.0	1065.0	954.0	406.0	6.0	0.0	0.0	610902.0	10543129.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-3-L2-clmp.fp2_r2_screen	134797.0	136892.0	22408.0	8277.0	6082.0	1012.0	959.0	393.0	7.0	0.0	0.0	609706.0	10543129.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-3-L3-clmp.fp2_r1_screen	104776.0	108426.0	15101.0	6686.0	4900.0	877.0	792.0	302.0	3.0	0.0	0.0	488205.0	8441630.0
