Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sor-ABur_001-Ex1-6G-lcwgs-1-T.clmp.fp2_r1_screen	19601.0	12467.0	2246.0	1591.0	1083.0	300.0	290.0	67.0	8.0	0.0	72194.0	1249638.0
Sor-ABur_001-Ex1-6G-lcwgs-1-T.clmp.fp2_r2_screen	19475.0	12504.0	2185.0	1636.0	1084.0	277.0	289.0	75.0	4.0	0.0	72318.0	1249638.0
Sor-ABur_002-Ex1-7G-lcwgs-1-T.clmp.fp2_r1_screen	10810.0	5477.0	1557.0	920.0	623.0	169.0	166.0	36.0	4.0	0.0	39119.0	648812.0
Sor-ABur_002-Ex1-7G-lcwgs-1-T.clmp.fp2_r2_screen	10794.0	5352.0	1459.0	934.0	631.0	175.0	167.0	41.0	4.0	0.0	39253.0	648883.0
Sor-ABur_003-Ex1-8G-lcwgs-1-T.clmp.fp2_r1_screen	47089.0	2797.0	5894.0	4233.0	2713.0	838.0	803.0	155.0	8.0	0.0	142417.0	2616336.0
Sor-ABur_003-Ex1-8G-lcwgs-1-T.clmp.fp2_r2_screen	46928.0	2753.0	5741.0	4218.0	2741.0	837.0	743.0	139.0	6.0	0.0	142841.0	2616336.0
Sor-ABur_004-Ex1-9G-lcwgs-1-T.clmp.fp2_r1_screen	23581.0	3623.0	2816.0	2098.0	1459.0	405.0	415.0	92.0	2.0	0.0	81233.0	1408959.0
Sor-ABur_004-Ex1-9G-lcwgs-1-T.clmp.fp2_r2_screen	23413.0	3512.0	2771.0	2041.0	1329.0	408.0	416.0	80.0	2.0	0.0	81752.0	1408959.0
Sor-ABur_005-Ex1-10G-lcwgs-1-T.clmp.fp2_r1_screen	23381.0	2953.0	2811.0	2047.0	1306.0	402.0	346.0	75.0	2.0	0.0	88009.0	1301076.0
Sor-ABur_005-Ex1-10G-lcwgs-1-T.clmp.fp2_r2_screen	23406.0	3012.0	2738.0	2063.0	1353.0	357.0	338.0	82.0	7.0	0.0	87976.0	1301076.0
