Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Sor-ACeb_001-Ex1-8E-lcwgs-1-2.clmp.fp2_r2_screen	694708	27767.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	2347.0	0.34	17847.0	2.56	42467.0	6.11	11195.0	1.5999999999999999	27854.0	4.01	17172.0	2.4799999999999995	22150.0	3.19	16088.0	2.32	643716	92.66
Sor-ACeb_004-Ex1-11E-lcwgs-1-2.clmp.fp2_r2_screen	211406	9634.0	4.5600000000000005	0.0	0.0	0.0	0.0	3.0	0.0	1020.0	0.48000000000000004	6605.0	3.11	13370.0	6.319999999999999	5195.0	2.45	10009.0	4.74	6686.0	3.16	8048.0	3.8	6138.0	2.9000000000000004	196607	93.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-2.clmp.fp2_r1_screen	39433	1193.0	3.0300000000000002	1.0	0.0	0.0	0.0	0.0	0.0	104.0	0.26	762.0	1.93	1845.0	4.67	520.0	1.3099999999999998	1195.0	3.03	736.0	1.86	979.0	2.48	677.0	1.71	37283	94.55
Sor-ACeb_011-Ex1-6F-lcwgs-1-2.clmp.fp2_r1_screen	19164	740.0	3.87	4.0	0.02	0.0	0.0	0.0	0.0	55.0	0.29000000000000004	1795.0	9.36	1318.0	6.869999999999999	336.0	1.75	679.0	3.55	417.0	2.1799999999999997	524.0	2.74	395.0	2.06	16613	86.69
Sor-ACeb_015-Ex1-10F-lcwgs-1-2.clmp.fp2_r2_screen	42505	1927.0	4.53	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.4	1729.0	4.07	2760.0	6.5	1053.0	2.4800000000000004	1990.0	4.69	1366.0	3.21	1623.0	3.83	1162.0	2.74	39155	92.12
Sor-ACeb_018-Ex1-1G-lcwgs-1-2.clmp.fp2_r1_screen	43561	2025.0	4.66	0.0	0.0	0.0	0.0	1.0	0.0	143.0	0.31999999999999995	1610.0	3.6999999999999997	2938.0	6.75	1039.0	2.37	2104.0	4.84	1353.0	3.1100000000000003	1608.0	3.69	1188.0	2.72	40137	92.14
Sor-ACeb_022-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	24851	1261.0	5.07	5.0	0.02	0.0	0.0	1.0	0.0	95.0	0.38	3293.0	13.250000000000002	2275.0	9.149999999999999	634.0	2.55	1213.0	4.880000000000001	818.0	3.29	1000.0	4.0200000000000005	807.0	3.25	20315	81.75
Sor-CPnd_001-Ex1-3E-lcwgs-1-2.clmp.fp2_r1_screen	1255002	71155.0	5.67	1.0	0.0	0.0	0.0	11.0	0.0	8415.0	0.6699999999999999	37528.0	2.99	100502.0	8.01	33454.0	2.67	72137.0	5.74	45188.0	3.5999999999999996	57645.0	4.6	43857.0	3.4899999999999998	1143432	91.11
Sor-CPnd_003-Ex1-2B-lcwgs-1-2.clmp.fp2_r1_screen	591529	29636.0	5.0200000000000005	2.0	0.0	0.0	0.0	1.0	0.0	3826.0	0.64	15825.0	2.67	41743.0	7.05	14147.0	2.38	30104.0	5.1000000000000005	18678.0	3.16	23826.0	4.03	18451.0	3.1100000000000003	545330	92.19
Sor-CPnd_004-Ex1-1G-lcwgs-1-2.clmp.fp2_r2_screen	1710389	99509.0	5.8100000000000005	0.0	0.0	0.0	0.0	2.0	0.0	11877.0	0.69	52079.0	3.0500000000000003	141571.0	8.28	45531.0	2.6599999999999997	101339.0	5.91	62904.0	3.67	80327.0	4.6899999999999995	61117.0	3.57	1553888	90.85
Sor-CPnd_008-Ex1-1A-lcwgs-1-2.clmp.fp2_r1_screen	2329504	79018.0	3.3899999999999997	3.0	0.0	0.0	0.0	1.0	0.0	10385.0	0.44999999999999996	47119.0	2.02	112645.0	4.84	39605.0	1.69	80086.0	3.43	51504.0	2.21	63709.0	2.73	49441.0	2.12	2202080	94.53
