origFileNames newFileNames lane
SoA0100101A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_001-Ex1-1A-lcwgs-1-T.1.fq.gz L4
SoA0100106G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_001-Ex1-6G-lcwgs-1-T.1.fq.gz L4
SoA0100108E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_001-Ex1-8E-lcwgs-1-T.1.fq.gz L4
SoA0100202A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_002-Ex1-2A-lcwgs-1-T.1.fq.gz L4
SoA0100207G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_002-Ex1-7G-lcwgs-1-T.1.fq.gz L4
SoA0100209E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_002-Ex1-9E-lcwgs-1-T.1.fq.gz L4
SoA0100303A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_003-Ex1-3A-lcwgs-1-T.1.fq.gz L4
SoA0100308G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_003-Ex1-8G-lcwgs-1-T.1.fq.gz L4
SoA0100310E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_003-Ex1-10E-lcwgs-1-T.1.fq.gz L4
SoA0100404A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_004-Ex1-4A-lcwgs-1-T.1.fq.gz L4
SoA0100409G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_004-Ex1-9G-lcwgs-1-T.1.fq.gz L4
SoA0100411E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_004-Ex1-11E-lcwgs-1-T.1.fq.gz L4
SoA0100505A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_005-Ex1-5A-lcwgs-1-T.1.fq.gz L4
SoA0100510G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_005-Ex1-10G-lcwgs-1-T.1.fq.gz L4
SoA0100512E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_005-Ex1-12E-lcwgs-1-T.1.fq.gz L4
SoA0100601F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_006-Ex1-1F-lcwgs-1-T.1.fq.gz L4
SoA0100606A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_006-Ex1-6A-lcwgs-1-T.1.fq.gz L4
SoA0100611G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_006-Ex1-11G-lcwgs-1-T.1.fq.gz L4
SoA0100702F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_007-Ex1-2F-lcwgs-1-T.1.fq.gz L4
SoA0100707A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_007-Ex1-7A-lcwgs-1-T.1.fq.gz L4
SoA0100712G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_007-Ex1-12G-lcwgs-1-T.1.fq.gz L4
SoA0100801H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_008-Ex1-1H-lcwgs-1-T.1.fq.gz L4
SoA0100803F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_008-Ex1-3F-lcwgs-1-T.1.fq.gz L4
SoA0100808A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_008-Ex1-8A-lcwgs-1-T.1.fq.gz L4
SoA0100902H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_009-Ex1-2H-lcwgs-1-T.1.fq.gz L4
SoA0100904F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_009-Ex1-4F-lcwgs-1-T.1.fq.gz L4
SoA0100909A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_009-Ex1-9A-lcwgs-1-T.1.fq.gz L4
SoA0101003H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_010-Ex1-3H-lcwgs-1-T.1.fq.gz L4
SoA0101005F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_010-Ex1-5F-lcwgs-1-T.1.fq.gz L4
SoA0101010A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_010-Ex1-10A-lcwgs-1-T.1.fq.gz L4
SoA0101104H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_011-Ex1-4H-lcwgs-1-T.1.fq.gz L4
SoA0101106F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_011-Ex1-6F-lcwgs-1-T.1.fq.gz L4
SoA0101111A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_011-Ex1-11A-lcwgs-1-T.1.fq.gz L4
SoA0101205H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_012-Ex1-5H-lcwgs-1-T.1.fq.gz L4
SoA0101207F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_012-Ex1-7F-lcwgs-1-T.1.fq.gz L4
SoA0101212A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_012-Ex1-12A-lcwgs-1-T.1.fq.gz L4
SoA0101301B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_013-Ex1-1B-lcwgs-1-T.1.fq.gz L4
SoA0101306H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_013-Ex1-6H-lcwgs-1-T.1.fq.gz L4
SoA0101308F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_013-Ex1-8F-lcwgs-1-T.1.fq.gz L4
SoA0101402B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_014-Ex1-2B-lcwgs-1-T.1.fq.gz L4
SoA0101407H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_014-Ex1-7H-lcwgs-1-T.1.fq.gz L4
SoA0101409F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_014-Ex1-9F-lcwgs-1-T.1.fq.gz L4
SoA0101503B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_015-Ex1-3B-lcwgs-1-T.1.fq.gz L4
SoA0101508H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_015-Ex1-8H-lcwgs-1-T.1.fq.gz L4
SoA0101510F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_015-Ex1-10F-lcwgs-1-T.1.fq.gz L4
SoA0101604B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_016-Ex1-4B-lcwgs-1-T.1.fq.gz L4
SoA0101609H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ABur_016-Ex1-9H-lcwgs-1-T.1.fq.gz L4
SoA0101611F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_016-Ex1-11F-lcwgs-1-T.1.fq.gz L4
SoA0101705B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_017-Ex1-5B-lcwgs-1-T.1.fq.gz L4
SoA0101712F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_017-Ex1-12F-lcwgs-1-T.1.fq.gz L4
SoA0101801G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_018-Ex1-1G-lcwgs-1-T.1.fq.gz L4
SoA0101806B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_018-Ex1-6B-lcwgs-1-T.1.fq.gz L4
SoA0101903G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_019-Ex1-3G-lcwgs-1-T.1.fq.gz L4
SoA0101907B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_019-Ex1-7B-lcwgs-1-T.1.fq.gz L4
SoA0102002G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_020-Ex1-2G-lcwgs-1-T.1.fq.gz L4
SoA0102008B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_020-Ex1-8B-lcwgs-1-T.1.fq.gz L4
SoA0102104G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_021-Ex1-4G-lcwgs-1-T.1.fq.gz L4
