Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
Sor-ACeb_001-Ex1-8E-lcwgs-1-2-L2-fastp	1854032.0	32184.0	238.0	9448.0	53722.0	0.0
Sor-ACeb_001-Ex1-8E-lcwgs-1-2-L3-fastp	1616980.0	28528.0	684.0	8646.0	50558.0	0.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-2-L2-fastp	261214.0	4990.0	18.0	1922.0	25120.0	0.0
Sor-ACeb_002-Ex1-9E-lcwgs-1-2-L3-fastp	262270.0	4764.0	142.0	1944.0	24566.0	0.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-2-L2-fastp	683088.0	8462.0	64.0	2624.0	16246.0	0.0
Sor-ACeb_003-Ex1-10E-lcwgs-1-2-L3-fastp	657316.0	8510.0	184.0	2538.0	16080.0	0.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-2-L2-fastp	574282.0	10700.0	32.0	4500.0	63798.0	0.0
Sor-ACeb_004-Ex1-11E-lcwgs-1-2-L3-fastp	503988.0	9516.0	304.0	4212.0	62526.0	0.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-2-L2-fastp	106320.0	1966.0	6.0	778.0	9342.0	0.0
Sor-ACeb_005-Ex1-12E-lcwgs-1-2-L3-fastp	108500.0	1972.0	54.0	852.0	9250.0	0.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-2-L2-fastp	89710.0	1480.0	4.0	452.0	5196.0	0.0
Sor-ACeb_006-Ex1-1F-lcwgs-1-2-L3-fastp	72256.0	1104.0	30.0	346.0	4304.0	0.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-2-L2-fastp	34578.0	784.0	2.0	216.0	2480.0	0.0
Sor-ACeb_007-Ex1-2F-lcwgs-1-2-L3-fastp	36204.0	660.0	24.0	212.0	2630.0	0.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-2-L2-fastp	105428.0	1570.0	6.0	542.0	4420.0	0.0
Sor-ACeb_008-Ex1-3F-lcwgs-1-2-L3-fastp	86856.0	1390.0	36.0	426.0	3976.0	0.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-2-L2-fastp	31868.0	418.0	4.0	144.0	1298.0	0.0
Sor-ACeb_009-Ex1-4F-lcwgs-1-2-L3-fastp	25208.0	380.0	6.0	138.0	1204.0	0.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-2-L2-fastp	150950.0	2600.0	4.0	1010.0	8852.0	0.0
Sor-ACeb_010-Ex1-5F-lcwgs-1-2-L3-fastp	132004.0	2174.0	78.0	844.0	7638.0	0.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-2-L2-fastp	59830.0	918.0	8.0	368.0	2642.0	0.0
Sor-ACeb_011-Ex1-6F-lcwgs-1-2-L3-fastp	46200.0	628.0	20.0	266.0	2268.0	0.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-2-L2-fastp	301082.0	4148.0	34.0	1600.0	13848.0	0.0
Sor-ACeb_012-Ex1-7F-lcwgs-1-2-L3-fastp	242666.0	3480.0	128.0	1354.0	11816.0	0.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-2-L2-fastp	126838.0	1956.0	16.0	876.0	4970.0	0.0
Sor-ACeb_013-Ex1-8F-lcwgs-1-2-L3-fastp	95746.0	1476.0	46.0	670.0	4378.0	0.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-2-L2-fastp	79254.0	1382.0	10.0	506.0	3514.0	0.0
Sor-ACeb_014-Ex1-9F-lcwgs-1-2-L3-fastp	73178.0	1160.0	52.0	414.0	3512.0	0.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-2-L2-fastp	126256.0	1904.0	16.0	708.0	7194.0	0.0
Sor-ACeb_015-Ex1-10F-lcwgs-1-2-L3-fastp	99384.0	1536.0	48.0	582.0	6128.0	0.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-2-L2-fastp	811848.0	16728.0	86.0	6352.0	95358.0	0.0
Sor-ACeb_016-Ex1-11F-lcwgs-1-2-L3-fastp	662326.0	13678.0	542.0	5416.0	88756.0	0.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-2-L2-fastp	578460.0	12878.0	28.0	5480.0	94074.0	0.0
Sor-ACeb_017-Ex1-12F-lcwgs-1-2-L3-fastp	541028.0	11174.0	288.0	4948.0	88360.0	0.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-2-L2-fastp	104672.0	1602.0	8.0	544.0	3532.0	0.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-2-L3-fastp	98870.0	1444.0	48.0	544.0	3552.0	0.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-2-L2-fastp	26994.0	406.0	4.0	138.0	734.0	0.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-2-L3-fastp	22084.0	356.0	4.0	116.0	774.0	0.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-2-L2-fastp	17272.0	400.0	4.0	138.0	734.0	0.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-2-L3-fastp	17836.0	394.0	8.0	130.0	760.0	0.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-2-L2-fastp	2834.0	46.0	0.0	10.0	108.0	0.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-2-L3-fastp	2374.0	46.0	0.0	10.0	108.0	0.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-2-L2-fastp	64566.0	1342.0	2.0	600.0	2436.0	0.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-2-L3-fastp	56834.0	1172.0	42.0	546.0	2336.0	0.0
Sor-CPnd_001-Ex1-3E-lcwgs-1-2-L2-fastp	3771684.0	62720.0	550.0	20136.0	38378.0	0.0
Sor-CPnd_001-Ex1-3E-lcwgs-1-2-L3-fastp	2966778.0	51788.0	1550.0	15998.0	31646.0	0.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-2-L2-fastp	1910436.0	38194.0	114.0	10804.0	33692.0	0.0
Sor-CPnd_002-Ex1-5E-lcwgs-1-2-L3-fastp	1697058.0	33562.0	944.0	9518.0	29082.0	0.0
Sor-CPnd_003-Ex1-2B-lcwgs-1-2-L2-fastp	1337422.0	23788.0	74.0	7892.0	17972.0	0.0
